Row,Column,F_Block,Name,Symbol,Atomic_No,Mass,Radius,Density,Mp,Bp,Electronegetivity,Ionisation
1,1,0,Hydrogen,H,1,1.00797,0.37,0.071,-259.2,-252.7,2.2,1312
2,1,0,Lithium,Li,3,6.939,1.55,0.53,179,-1317,0.98,520
3,1,0,Sodium,Na,11,22.99,1.9,0.97,97.8,890,0.93,496
4,1,0,Potassium,K,19,39.102,2.35,0.86,63.7,754,0.82,419
5,1,0,Rubidium,Rb,37,85.47,2.48,1.53,38.9,688,0.82,403
6,1,0,Cesium,Cs,55,132.9,2.67,1.9,28.7,671,0.79,376
7,1,0,Francium,Fr,87,223,-12345,-12345,27,677,0.7,380
2,2,0,Beryllium,Be,4,9.012,1.12,1.85,1283,2487,1.57,900
3,2,0,Magnesium,Mg,12,24.312,1.6,1.74,650,1105,1.31,738
4,2,0,Calcium,Ca,20,40.08,1.12,1.85,1283,1487,1,590
5,2,0,Strontium,Sr,38,87.62,2.15,2.6,769,1384,0.95,550
6,2,0,Barium,Ba,56,138.9,2.22,3.5,725,1640,0.89,503
7,2,0,Radium,Rd,88,6.939,-12345,5,700,1737,0.89,509
4,3,0,Scandium,Sc,21,44.956,1.6,1.74,650,1105,1.36,633
5,3,0,Yttrium,Y,39,88.905,1.8,4.47,1522,3338,1.22,600
6,3,0,Lanthanum,La,57,138.9,1.87,6.17,921,3457,1.1,538
6,3,1,Cerium,Ce,58,140.12,1.81,6.67,799,3426,1.12,534
6,3,2,Praseodymium,Pr,59,140.91,1.82,6.77,931,3512,1.13,527
6,3,3,Neodymiium,Nd,60,144.24,1.82,7,1021,3068,1.14,533
6,3,4,Promethium,Pm,61,147,0,0,1168,2700,1.13,540
6,3,5,Samarium,Sm,62,150.35,1.66,7.54,1077,1791,1.17,545
6,3,6,Europium,Eu,63,151.96,2,5.26,822,1597,1.2,547
6,3,7,Gadolinium,Gd,64,157.25,1.79,7.89,1313,3266,1.2,593
6,3,8,Terbium,Tb,65,158.925,1.77,8.27,1356,3123,1.22,566
6,3,9,Dysprosium,Dy,66,162.5,1.77,8.8,1412,2562,1.23,573
6,3,10,Holmium,Ho,67,164.93,1.76,8.8,1476,2695,1.24,581
6,3,11,Erbium,Er,68,167.26,1.75,9.05,1.29,2863,1.24,581
6,3,12,Thulium,Tm,69,168.934,1.74,9.33,1545,1194,1.25,597
6,3,13,Ytterbium,Yb,70,173.04,2.28,6.98,819,1194,1.1,603
6,3,14,Lutetium,Lu,71,174.97,1.74,9.84,1163,3395,1.27,524
7,3,0,Actinium,Ac,89,227,-12345,-12345,1050,3200,1.1,499
7,3,1,Thorium,Th,90,231.04,-12345,11.7,1597,4027,1.3,587
7,3,2,Protactinium,Pa,91,231.03,-12345,15.4,1597,4027,1.5,568
7,3,3,Uranium,U,92,238.03,-12345,19.01,1132,3818,1.38,598
7,3,4,Neptunium,Np,93,237.05,-12345,19.5,637,4090,1.36,605
7,3,5,Plutonium,Pu,94,244,2.35,0.86,63.7,754,1.28,585
7,3,6,Americium,Am,95,243,-12345,11.7,994,2607,1.3,578
7,3,7,Curium,Cm,96,247,-12345,-12345,1340,3190,1.3,581
7,3,8,Berkelium,Bk,97,247,-12345,-12345,1050,710,1.3,601
7,3,9,Californium,Cf,98,251,-12345,-12345,900,1470,1.3,608
7,3,10,Einsteinium,Es,99,254,-12345,-12345,860,996,1.3,609
7,3,11,Fermium,Fm,100,257,-12345,-12345,-12345,-12345,1.3,627
7,3,12,Mendelevium,Md,101,258,-12345,-12345,-12345,-12345,1.3,635
7,3,13,Nobelium,No,102,259,-12345,-12345,-12345,-12345,1.3,642
7,3,14,Lawrencium,Lr,103,260,-12345,-12345,-12345,-12345,-12345,470
4,4,0,Titanium,Ti,22,47.9,1.47,4.51,1677,3277,1.54,659
5,4,0,Zirconium,Zr,40,91.22,1.6,6.49,1852,4377,1.33,640
6,4,0,Hafnium,Hf,72,178.95,1.58,13.1,2227,4602,1.3,659
7,4,0,Rutherfordium,Rf,104,261,-12345,-12345,-12345,-12345,-12345,580
4,5,0,Vanadium,V,23,47.9,1.34,6.1,1917,3377,1.63,651
5,5,0,Niobium,Nb,41,92.906,1.46,8.4,2467,4747,1.5,652
6,5,0,Tantalum,Ta,73,180.95,1.46,16.6,2996,4742,1.5,761
7,5,0,Dubnium,Db,105,262,-12345,-12345,-12345,-12345,-12345,-12345
4,6,0,Chromium,Cr,24,51.996,1.27,7.19,1903,2642,1.66,653
5,6,0,Molybdenum,Mo,42,261,1.39,10.2,2610,5560,2.16,684
6,6,0,Tungsten,W,74,183.85,1.39,19.3,3410,5660,2.36,770
7,6,0,Seaborgium,Sg,106,263,-12345,-12345,-12345,-12345,-12345,-12345
4,7,0,Manganese,Mn,25,54.938,1.26,7.43,1244,2041,1.55,717
5,7,0,Technetium,Tc,43,98.91,1.36,11.5,2172,4877,1.9,702
6,7,0,Rhenium,W,74,183.85,1.39,19.3,3180,5627,1.9,760
7,7,0,Bohrium,Bh,107,262,-12345,-12345,-12345,-12345,-12345,-12345
4,8,0,Iron,Fe,26,55.847,1.26,7.86,1539,2887,1.83,763
5,8,0,Ruthenium,Ru,44,101.107,1.34,12.4,1966,3727,2.2,710
6,8,0,Osmium,Os,76,190.2,1.35,22.6,2700,5297,2.2,840
7,8,0,Hassium,Hs,108,263,-12345,-12345,-12345,-12345,-12345,-12345
4,9,0,Cobalt,Co,27,58.71,1.25,8.9,1495,2877,1.88,760
5,9,0,Rhodium,Rh,45,102.9,1.34,12.4,1966,3727,2.28,720
6,9,0,Iridium,Ir,77,192.2,1.36,22.5,2410,4130,2.2,880
7,9,0,Meitnerium,Mt,109,266,-12345,-12345,-12345,-12345,-12345,-12345
4,10,0,Nickel,Ni,28,58.71,1.24,8.9,1455,2837,1.91,737
5,10,0,Palladium,Pd,46,106.4,1.38,12,1554,2970,2.2,804
6,10,0,Platinum,Pt,78,196.97,1.38,21.4,1772,3827,2.98,870
7,10,0,Darmstadtium,Ds,110,269,-12345,-12345,-12345,-12345,-12345,-12345
4,11,0,Copper,Cu,29,63.54,1.28,8.96,1083,2582,1.9,746
5,11,0,Silver,Ag,47,107.87,1.44,10.5,960.8,2212,1.93,731
6,11,0,Gold,Au,79,200.59,1.57,13.6,-38.4,357,2.54,890
7,11,0,Roentgenium,Rg,111,272,-12345,-12345,-12345,-12345,-12345,-12345
4,12,0,Zinc,Zn,30,65.37,1.38,7.14,419.5,907,1.65,906
5,12,0,Cadmium,Cd,48,112.4,1.54,8.65,320.9,767,1.69,868
6,12,0,Mercury,Hg,80,200.59,1.57,13.6,-38.4,357,2,1007
7,12,0,Copernicium,Cn,112,227,-12345,-12345,-12345,-12345,-12345,-12345
2,13,0,Boron,B,5,10.811,0.98,2.34,2200,2550,2.04,801
3,13,0,Aluminium,Al,13,26.982,1.43,2.7,660,2467,1.61,578
4,13,0,Gallium,Ga,31,69.72,1.41,5.91,29.8,2403,1.81,579
5,13,0,Indium,In,49,114.82,1.66,7.31,21.2,2000,1.78,558
6,13,0,Thallium,Tl,81,204.37,1.71,11.85,303,1457,1.62,589
7,13,0,Nihonium,Nh,113,277,-12345,-12345,-12345,-12345,-12345,-12345
2,14,0,Carbon,C,6,12.0111,0.98,2.34,2200,2550,2.55,1087
3,14,0,Silicon,Si,14,28.086,1.32,2.33,1420,2355,1.9,787
4,14,0,Germanium,Ge,32,72.59,1.37,5.32,937.4,2355,2.01,762
5,14,0,Tin,Sn,50,118.69,1.62,7.3,231.9,2270,1.96,709
6,14,0,Lead,Pb,82,207.2,1.75,11.4,327.4,1744,2.33,716
7,14,0,Flerovium,Fl,114,289,-12345,-12345,-12345,-12345,-12345,-12345
2,15,0,Nitrogen,N,7,14.007,0.92,0.81,-210,195.8,3.04,1402
3,15,0,Phosphorus,P,15,30.974,1.28,1.82,44.2,280,2.19,1012
4,15,0,Arsenic,As,33,74.921,1.39,5.72,817,613,2.18,947
5,15,0,Antimony,Sb,51,118.69,1.59,8.62,630.5,1380,2.05,834
6,15,0,Bismuth,Bi,83,208.98,1.7,9.8,271.3,1560,2.02,703
7,15,0,Moscovium,Mc,114,289,-12345,-12345,-12345,-12345,-12345,-12345
2,16,0,Oxygen,O,8,15.9994,1.52,1.14,-218.8,-183,3.44,1314
3,16,0,Sulphur,S,16,32.064,1.27,2.07,119,444.6,2.58,1000
4,16,0,Selenium,Se,34,78.96,1.4,4.79,217,685,2.55,941
5,16,0,Tellurium,Te,52,127.6,1.6,6.24,449.5,989.8,2.1,869
6,16,0,Polonium,Po,84,210,1.7,9.2,271.3,1560,2,812
7,16,0,Livermorium,Lv,116,298,-12345,-12345,-12345,-12345,-12345,-12345
2,17,0,Fluorine,F,9,18.9984,0.72,1.11,-219.6,-188.2,3.98,1681
3,17,0,Chlorine,Cl,17,35.453,0.99,1.56,-101,-34.7,3.16,1251
4,17,0,Bromine,Br,35,79.904,1.14,3.12,-7.2,59,2.96,1140
5,17,0,Iodine,I,53,126.905,1.33,4.94,113.7,184,2.66,1006
6,17,0,Astatine,At,85,210,1.4,6.2,300,370,2.2,890
7,17,0,Tennesseine,Ts,117,-12345,-12345,-12345,-12345,-12345,-12345,-12345
1,18,0,Helium,He,2,4.0026,1.2,0.126,-272,-268.9,-12345,2372
2,18,0,Neon,Ne,10,20.183,1.6,1.2,-248.6,-246,-12345,2081
3,18,0,Argon,Ar,18,39.948,1.91,1.4,-189.4,-185.8,-12345,1521
4,18,0,Krypton,Kr,36,83.8,2,2.6,-1574,-152,3,1351
5,18,0,Xenon,Xe,54,131.3,2.2,3.06,-111.9,-107,2.6,1170
6,18,0,Radon,Rn,86,222,0,0,-71,-61.8,-12345,1037
7,18,0,Oganesson,Og,118,-12345,-12345,-12345,-12345,-12345,-12345,-12345
